Date,Time,Latitude,Longitude,Water temperature,Sp Conductivity,Salinity,Depth,Turbidity,Battery,pH,Chlorophyll,Chlorophyll RFU,ODO Percent,ODO Concentration,BP
dd/mm/yyyy,hh:mm:ss,,,Celsius degree,mS/cm,ppt,meters,NTU,Volts,pH units,ug/L,,,mg/L,psi
03/12/2013,08:23:36,-33.8429,151.2595,23.1,49.94,32.73,0.018,0.4,,8.04,1.2,0.3,93.1,6.6,14.82
